OBJECTID,BASINID,COUNT,AREA,SUM
246,248,84,0.1458333,18079.1210938
247,250,78,0.1354167,269492.7187500
248,251,31,0.0538194,157346.6250000
249,252,7,0.0121528,32001.0292969
250,253,65,0.1128472,692119.6875000
251,254,73,0.1267361,233227.1406250
252,255,19,0.0329861,1923.8240967
253,256,43,0.0746528,5210.2758789
254,257,3,0.0052083,861.0887451
255,258,145,0.2517361,20930.5625000
256,259,272,0.4722222,14540.1816406
257,260,2,0.0034722,276.7293091
258,261,2,0.0034722,564.6005859
259,262,39,0.0677083,15261.9990234
260,263,146,0.2534722,33639.9843750
261,265,51,0.0885417,83195.9375000
262,266,24,0.0416667,97018.7265625
263,267,27,0.0468750,40407.1796875
264,268,2,0.0034722,595.7980957
265,269,28,0.0486111,102026.9843750
266,270,45,0.0781250,106565.5546875
267,271,34,0.0590278,7387.4624023
268,272,57,0.0989583,15523.5410156
269,273,13,0.0225694,3052.8498535
270,274,10,0.0173611,2412.2521973
271,275,41,0.0711806,13978.2138672
272,276,93,0.1614583,121755.5859375
273,277,31,0.0538194,29576.5507813
274,278,42,0.0729167,65544.8359375
275,279,100,0.1736111,42711.9687500
276,280,26,0.0451389,35790.0390625
277,281,3,0.0052083,11.2741022
278,282,8,0.0138889,2288.5454102
279,284,132,0.2291667,427178.2500000
280,285,145,0.2517361,962389.3125000
281,286,244,0.4236111,730721.5625000
282,287,59,0.1024306,195995.6406250
283,288,1344,2.3333333,2630028.7500000
284,289,120,0.2083333,465833.8750000
285,290,55,0.0954861,1474881.5000000
286,291,782,1.3576388,2893136.5000000
287,292,125,0.2170139,555008.1250000
288,293,69,0.1197917,257405.6718750
289,294,387,0.6718750,1386320.7500000
290,295,531,0.9218750,2115060.2500000
291,296,150,0.2604167,385633.5000000
292,297,143,0.2482639,949333.6875000
293,298,65,0.1128472,302728.4062500
294,299,2566,4.4548612,4235965.5000000
295,300,178,0.3090278,1011426.5625000
296,301,71,0.1232639,311084.7500000
297,302,212,0.3680556,707000.8750000
298,303,186,0.3229167,384028.4687500
299,304,1127,1.9565972,1667097.5000000
300,305,544,0.9444444,1306948.3750000
301,306,79,0.1371528,379010.2500000
302,307,3062,5.3159723,1993805.5000000
303,308,145,0.2517361,196154.9531250
304,309,1010,1.7534722,1416047.2500000
305,310,325,0.5642361,614048.4375000
306,311,106,0.1840278,84850.8515625
307,312,82,0.1423611,54803.4960938
308,313,135,0.2343750,315105.7187500
309,314,547,0.9496528,2011967.8750000
310,315,129,0.2239583,607599.3125000
311,316,66,0.1145833,1180476.8750000
312,317,102,0.1770833,561211.0000000
313,318,365,0.6336806,474122.0312500
314,319,234,0.4062500,628514.8125000
315,320,345,0.5989583,31776.0644531
316,321,414,0.7187500,37256.0273438
317,322,120,0.2083333,116042.3125000
318,323,112,0.1944444,323596.1875000
319,324,65,0.1128472,153192.8125000
320,325,508,0.8819444,91109.0000000
321,326,1097,1.9045138,2746590.5000000
322,327,959,1.6649306,466132.8125000
323,328,53,0.0920139,76018.9531250
324,329,104,0.1805556,623783.0000000
325,330,97,0.1684028,131709.0937500
326,331,99,0.1718750,178249.3593750
327,332,58,0.1006944,113622.3125000
328,333,111,0.1927083,143164.7968750
329,334,144,0.2500000,201850.6250000
330,335,120,0.2083333,18881.3789063
331,336,96,0.1666667,202151.2500000
332,337,138,0.2395833,21663.7343750
333,338,96,0.1666667,269267.2500000
334,339,66,0.1145833,20917.8476563
335,340,222,0.3854167,8643.7636719
336,341,955,1.6579862,1717532.0000000
337,342,84,0.1458333,108258.3125000
338,343,270,0.4687500,351833.2500000
339,344,120,0.2083333,111159.5156250
340,345,53,0.0920139,1586.0151367
341,346,338,0.5868056,14146.4707031
342,347,154,0.2673611,12344.5732422
343,348,67,0.1163194,100335.4296875
344,349,109,0.1892361,8741.0429688
345,350,88,0.1527778,7023.4375000
346,351,274,0.4756944,22051.1445313
347,352,573,0.9947917,46273.8164063
348,353,147,0.2552083,2172.8164063
349,354,276,0.4791667,110362.4218750
350,355,105,0.1822917,32776.3710938
351,356,67,0.1163194,957.6469116
352,357,220,0.3819444,13743.5986328
353,358,357,0.6197917,28442.4589844
354,359,55,0.0954861,11527.3896484
355,360,65,0.1128472,13846.5849609
356,361,89,0.1545139,19103.0214844
357,362,26,0.0451389,463.2810974
358,363,387,0.6718750,45943.3046875
359,365,52,0.0902778,1232.7847900
360,366,180,0.3125000,4282.1220703
361,367,1,0.0017361,16.8476810
362,368,967,1.6788194,26449.0800781
363,369,9,0.0156250,54.7437935
364,370,766,1.3298612,24292.6953125
365,371,848,1.4722222,24924.1972656
366,372,2637,4.5781250,15673.7949219
367,373,374,0.6493056,463.8275146
368,374,58,0.1006944,35.7890472
369,375,545,0.9461806,373.5271606
370,376,249,0.4322917,154.6842041
371,377,332,0.5763889,9840.4541016
372,378,84,0.1458333,2880.9436035
373,379,5094,8.8437500,89543.0156250
374,380,93,0.1614583,58.0696259
375,381,2469,4.2864585,25064.0410156
376,382,478,0.8298611,18781.7031250
377,383,46,0.0798611,28.7669411
378,384,112,0.1944444,3563.0981445
379,385,55,0.0954861,538.8916626
380,386,1212,2.1041667,12191.5859375
381,387,79,0.1371528,686.3641968
382,388,74,0.1284722,561.6372070
383,389,256,0.4444444,34304.8515625
384,390,76,0.1319444,67.4070740
385,391,73,0.1267361,68.3820801
386,392,106,0.1840278,101.2695923
387,393,189,0.3281250,178.7363586
388,394,98,0.1701389,973.0200806
389,395,370,0.6423611,5025.1074219
390,396,370,0.6423611,3755.2946777
391,397,304,0.5277778,3192.5124512
392,398,90,0.1562500,912.1044922
393,399,61,0.1059028,58.3731079
394,400,50,0.0868056,509.0245056
395,401,245,0.4253472,2492.0957031
396,402,86,0.1493056,876.8378906
397,403,258,0.4479167,2312.9060059
398,404,73,0.1267361,5040.5722656
399,405,159,0.2760417,11502.5458984
400,406,80,0.1388889,419.7549744
401,407,163,0.2829861,13486.7753906
402,408,114,0.1979167,558.4447632
403,409,2674,4.6423612,37423.8593750
404,410,64,0.1111111,278.5304871
405,411,114,0.1979167,546.1596680
406,412,315,0.5468750,1292.6429443
407,413,1096,1.9027778,8593.2734375
408,414,712,1.2361112,4865.7104492
409,415,57,0.0989583,391.4813538
410,416,62,0.1076389,342.7557678
411,417,270,0.4687500,2070.5627441
412,418,620,1.0763888,4032.9882813
413,419,53,0.0920139,480.4619751
414,420,79,0.1371528,382.8501587
415,421,75,0.1302083,537.1881104
416,422,93,0.1614583,4483.5664063
417,423,3955,6.8663197,81033.3671875
418,424,48,0.0833333,236.9573212
419,425,269,0.4670139,1714.7746582
420,426,98,0.1701389,7804.5820313
421,427,80,0.1388889,417.7685242
422,428,2749,4.7725697,280520.6250000
423,429,60,0.1041667,301.7932129
424,430,24,0.0416667,146.8110809
425,431,203,0.3524306,33591.5234375
426,432,1582,2.7465277,3532416.2500000
427,433,154,0.2673611,294088.4062500
428,434,69,0.1197917,149992.7812500
429,435,88,0.1527778,68066.5078125
430,436,128,0.2222222,114048.0000000
431,437,938,1.6284722,105431.1875000
432,438,215,0.3732639,45338.5546875
433,439,700,1.2152778,954852.2500000
434,440,61,0.1059028,27594.3183594
435,441,287,0.4982639,335767.8125000
436,442,202,0.3506944,56423.7617188
437,443,59,0.1024306,19876.4746094
438,444,597,1.0364584,508618.3437500
439,445,88,0.1527778,60252.7265625
440,446,95,0.1649306,99270.1640625
441,447,1139,1.9774306,629586.3750000
442,448,150,0.2604167,113314.3906250
443,449,74,0.1284722,35118.4218750
444,450,2789,4.8420138,854477.6875000
445,451,57,0.0989583,41412.4765625
446,452,1101,1.9114584,219348.5937500
447,453,385,0.6684028,300540.8125000
448,454,234,0.4062500,231080.6562500
449,455,81,0.1406250,51373.0664063
450,456,378,0.6562500,1045664.4375000
451,457,434,0.7534722,740048.6250000
452,458,94,0.1631944,72756.6718750
453,459,235,0.4079861,229836.0000000
454,460,288,0.5000000,263409.1562500
455,461,751,1.3038194,1204139.6250000
456,462,434,0.7534722,588821.3125000
457,463,52,0.0902778,429541.8750000
458,464,97,0.1684028,275377.3750000
459,465,391,0.6788194,477418.1250000
460,466,889,1.5434028,943539.3750000
461,467,369,0.6406250,406034.8125000
462,468,45,0.0781250,276983.5312500
463,469,51,0.0885417,51273.1015625
464,470,119,0.2065972,131484.3906250
465,471,935,1.6232638,1767360.8750000
466,472,665,1.1545138,1073661.6250000
467,473,200,0.3472222,380391.7187500
468,474,336,0.5833333,195145.7500000
469,475,975,1.6927084,1055065.3750000
470,476,61,0.1059028,61805.6015625
471,477,507,0.8802083,212264.9375000
472,478,189,0.3281250,813553.3125000
473,479,169,0.2934028,178895.6406250
474,480,779,1.3524306,758638.5000000
475,481,52,0.0902778,263136.5625000
476,482,164,0.2847222,471312.3750000
477,483,1105,1.9184028,2065965.6250000
478,484,155,0.2690972,137348.6875000
479,485,64,0.1111111,1924422.6250000
480,486,2151,3.7343750,17811632.0000000
481,487,62,0.1076389,174517.4218750
482,488,525,0.9114583,1166835.6250000
483,489,354,0.6145833,1225540.2500000
484,490,4619,8.0190973,4252463.0000000
485,491,650,1.1284722,823670.5625000
486,492,207,0.3593750,389237.0312500
487,493,153,0.2656250,2267773.7500000
488,494,1109,1.9253472,5420828.0000000
489,495,75,0.1302083,366377.4375000
490,496,252,0.4375000,774449.5625000
491,497,133,0.2309028,167516.6406250
492,498,760,1.3194444,1677371.2500000
493,499,127,0.2204861,166533.3750000
494,500,1559,2.7065973,7738550.0000000
495,501,1414,2.4548612,1569276.2500000
496,502,83,0.1440972,486927.5937500
497,503,88,0.1527778,398769.5937500
498,504,61,0.1059028,252108.7031250
499,505,507,0.8802083,2552792.7500000
500,506,111,0.1927083,55569.5859375
501,507,160,0.2777778,591324.4375000
502,508,347,0.6024306,596064.6875000
503,509,71,0.1232639,41610.7148438
504,510,395,0.6857639,752351.0000000
505,511,89,0.1545139,39237.0703125
506,512,54,0.0937500,204515.8437500
507,513,60,0.1041667,424454.6875000
508,514,56,0.0972222,20838.1914063
509,515,53,0.0920139,194621.6718750
510,516,48,0.0833333,96650.3437500
511,517,202,0.3506944,3130756.2500000
